Elapsed seconds	Rx-Mbps [with hdr]	Rx-pps	Tx-Mbps [with hdr]	Tx-pps	Latency (us)
0	0.00	0	0.00	0	-nan 
1	0.00	2	0.00	2	-nan 
2	0.01	7	0.01	5	-nan 
3	0.00	0	0.00	0	-nan 
4	0.00	0	0.00	0	-nan 
5	0.00	0	0.00	0	-nan 
6	0.00	0	0.00	0	-nan 
7	0.00	0	0.00	0	-nan 
8	0.00	0	0.00	0	-nan 
9	0.00	0	0.00	0	-nan 
10	0.00	0	0.00	0	-nan 
11	0.00	0	0.00	0	-nan 
12	0.00	0	0.00	0	-nan 
13	0.00	0	0.00	0	-nan 
14	0.00	0	0.00	0	-nan 
15	0.00	0	0.00	0	-nan 
16	0.00	0	0.00	0	-nan 
17	0.00	0	0.00	0	-nan 
18	0.00	0	0.00	0	-nan 
19	0.00	0	0.00	0	-nan 
20	0.00	0	0.00	0	-nan 
21	0.00	0	0.00	0	-nan 
22	0.00	0	0.00	0	-nan 
23	0.00	0	0.00	0	-nan 
24	0.00	0	0.00	0	-nan 
25	0.00	0	0.00	0	-nan 
26	0.00	0	0.00	0	-nan 
27	0.00	0	0.00	0	-nan 
28	0.00	0	0.00	0	-nan 
29	0.00	0	0.00	0	-nan 
30	0.00	0	0.00	0	-nan 
31	0.00	0	0.00	0	-nan 
32	0.00	0	0.00	0	-nan 
33	0.00	0	0.00	0	-nan 
34	0.00	0	0.00	0	-nan 
35	0.00	0	0.00	0	-nan 
36	0.00	0	0.00	0	-nan 
37	0.00	0	0.00	0	-nan 
38	0.00	0	0.00	0	-nan 
39	0.28	350	0.70	350	-nan 
40	0.49	623	1.24	623	-nan 
41	0.49	623	1.24	623	-nan 
42	0.49	623	1.24	623	-nan 
43	0.49	624	1.24	624	-nan 
44	0.49	623	1.24	623	-nan 
45	0.49	623	1.24	623	-nan 
46	0.49	624	1.24	624	-nan 
47	0.49	624	1.24	624	-nan 
48	0.49	624	1.24	624	-nan 
49	0.49	624	1.24	624	-nan 
50	0.49	624	1.24	624	-nan 
51	0.49	624	1.24	624	-nan 
52	0.49	624	1.24	624	-nan 
53	0.49	624	1.24	624	-nan 
54	0.49	624	1.25	625	-nan 
55	0.42	624	1.16	623	-nan 
56	0.37	625	1.10	625	-nan 
57	0.36	624	1.09	624	-nan 
58	0.36	624	1.09	624	-nan 
59	0.36	624	1.09	624	-nan 
60	0.36	624	1.09	624	-nan 
61	0.36	624	1.09	624	-nan 
62	0.36	624	1.09	624	-nan 
63	0.36	624	1.09	624	-nan 
64	0.36	624	1.09	624	-nan 
65	0.36	624	1.09	624	-nan 
66	0.37	625	1.10	625	-nan 
67	0.36	624	1.09	624	-nan 
68	0.36	624	1.09	624	-nan 
69	0.36	624	1.09	624	-nan 
70	0.36	624	1.09	624	-nan 
71	0.14	244	0.43	244	-nan 
72	0.00	0	0.00	0	-nan 
73	0.00	0	0.00	0	-nan 
74	0.00	0	0.00	0	-nan 
75	0.00	0	0.00	0	-nan 
76	0.00	0	0.00	0	-nan 
77	0.00	0	0.00	0	-nan 
78	0.00	0	0.00	0	-nan 
79	0.00	0	0.00	0	-nan 
80	0.00	0	0.00	0	-nan 
81	0.00	0	0.00	0	-nan 
82	0.00	0	0.00	0	-nan 
83	0.00	0	0.00	0	-nan 
84	0.00	0	0.00	0	-nan 
85	0.00	0	0.00	0	-nan 
86	0.00	0	0.00	0	-nan 
87	0.00	0	0.00	0	-nan 
88	0.00	0	0.00	0	-nan 
89	0.00	0	0.00	0	-nan 
90	0.00	0	0.00	0	-nan 
91	0.00	0	0.00	0	-nan 
92	0.00	0	0.00	0	-nan 
93	0.00	0	0.00	0	-nan 
94	0.00	0	0.00	0	-nan 
95	0.00	0	0.00	0	-nan 
96	0.00	0	0.00	0	-nan 
97	0.00	0	0.00	0	-nan 
98	0.00	0	0.00	0	-nan 
99	0.00	0	0.00	0	-nan 
100	0.00	0	0.00	0	-nan 
101	0.00	0	0.00	0	-nan 
102	0.01	7	0.01	5	-nan 
103	0.00	0	0.00	0	-nan 
104	0.00	0	0.00	0	-nan 
105	0.00	0	0.00	0	-nan 
106	0.00	0	0.00	0	-nan 
107	0.00	0	0.00	0	-nan 
108	0.00	0	0.00	0	-nan 
109	0.00	0	0.00	0	-nan 
110	0.00	0	0.00	0	-nan 
111	0.00	0	0.00	0	-nan 
112	0.00	0	0.00	0	-nan 
113	0.00	0	0.00	0	-nan 
114	0.00	0	0.00	0	-nan 
115	0.00	0	0.00	0	-nan 
116	0.00	0	0.00	0	-nan 
117	0.00	0	0.00	0	-nan 
118	0.00	0	0.00	0	-nan 
119	0.00	0	0.00	0	-nan 
120	0.00	0	0.00	0	-nan 
121	0.00	0	0.00	0	-nan 
122	0.00	0	0.00	0	-nan 
123	0.00	0	0.00	0	-nan 
124	0.00	0	0.00	0	-nan 
125	0.00	0	0.00	0	-nan 
126	0.00	0	0.00	0	-nan 
127	0.00	0	0.00	0	-nan 
128	0.00	0	0.00	0	-nan 
129	0.00	0	0.00	0	-nan 
130	0.00	0	0.00	0	-nan 
131	0.00	0	0.00	0	-nan 
132	0.00	0	0.00	0	-nan 
133	0.00	0	0.00	0	-nan 
134	0.00	0	0.00	0	-nan 
135	0.00	0	0.00	0	-nan 
136	0.00	0	0.00	0	-nan 
137	0.00	0	0.00	0	-nan 
138	0.00	0	0.00	0	-nan 
139	0.00	0	0.00	0	-nan 
140	0.00	0	0.00	0	-nan 
141	0.00	0	0.00	0	-nan 
142	0.00	0	0.00	0	-nan 
143	0.00	0	0.00	0	-nan 
144	0.00	0	0.00	0	-nan 
145	0.00	0	0.00	0	-nan 
146	0.00	0	0.00	0	-nan 
147	0.00	0	0.00	0	-nan 
148	0.00	0	0.00	0	-nan 
149	0.00	0	0.00	0	-nan 
150	0.00	0	0.00	0	-nan 
151	0.00	0	0.00	0	-nan 
152	0.00	0	0.00	0	-nan 
153	0.00	0	0.00	0	-nan 
154	0.00	0	0.00	0	-nan 
155	0.00	0	0.00	0	-nan 
156	0.00	0	0.00	0	-nan 
157	0.00	0	0.00	0	-nan 
158	0.00	0	0.00	0	-nan 
159	0.00	0	0.00	0	-nan 
160	0.00	0	0.00	0	-nan 
161	0.00	0	0.00	0	-nan 
162	0.00	0	0.00	0	-nan 
163	0.00	0	0.00	0	-nan 
164	0.00	0	0.00	0	-nan 
165	0.00	0	0.00	0	-nan 
166	0.00	0	0.00	0	-nan 
167	0.00	0	0.00	0	-nan 
168	0.00	0	0.00	0	-nan 
169	0.00	0	0.00	0	-nan 
170	0.00	0	0.00	0	-nan 
171	0.00	0	0.00	0	-nan 
172	43.05	26129	2238.45	1983391	1119.94 
173	85.34	69269	3340.14	2940260	1086.50 
174	85.40	69322	3340.58	2940664	1137.88 
175	85.27	69214	3340.51	2940575	1148.38 
176	85.29	69228	3340.45	2940532	1087.28 
177	85.37	69292	3392.85	2986667	1160.62 
178	85.41	69324	3415.10	3006248	1469.84 
179	85.22	69168	3414.81	3006017	1684.26 
