UNIX_timestamp	Elapsed_seconds	Rx-Mbps_[with_hdr]	Rx-pps	Tx-Mbps_[with_hdr]	Tx-pps	Latency_(us)
1604458833750	0.00	0.00	0	0.00	0	-nan 
1604458835745	2.00	0.00	3	0.00	4	-nan 
1604458837741	4.00	0.00	3	0.00	2	-nan 
1604458839736	6.00	0.00	0	0.00	0	-nan 
1604458841732	8.00	0.00	0	0.00	0	-nan 
1604458843727	10.00	0.00	0	0.00	0	-nan 
1604458845723	12.00	0.00	0	0.00	0	-nan 
1604458847718	14.00	0.00	0	0.00	0	-nan 
1604458849714	16.00	0.00	0	0.00	0	-nan 
1604458851709	18.00	0.00	0	0.00	0	-nan 
1604458853705	20.00	0.00	0	0.00	0	-nan 
1604458855700	22.00	0.00	0	0.00	0	-nan 
1604458857696	24.00	0.00	0	0.00	0	-nan 
1604458859691	26.00	0.00	0	0.00	0	-nan 
1604458861687	28.00	0.00	0	0.00	0	-nan 
1604458863682	30.00	0.00	0	0.00	0	-nan 
1604458865678	32.00	0.00	0	0.00	0	-nan 
1604458867673	34.00	0.00	0	0.00	0	-nan 
1604458869669	36.00	0.00	0	0.00	0	-nan 
1604458871664	38.00	0.00	0	0.00	0	-nan 
1604458873660	40.00	0.00	0	0.00	0	-nan 
1604458875655	42.00	0.00	0	0.00	0	-nan 
1604458877651	44.00	0.00	0	0.00	0	-nan 
1604458879646	46.00	0.00	0	0.00	0	-nan 
1604458881642	48.00	0.00	0	0.00	0	-nan 
1604458883637	50.00	0.00	0	0.00	0	-nan 
1604458885633	52.00	0.00	0	0.00	0	-nan 
1604458887628	54.00	0.00	0	0.00	0	-nan 
1604458889624	56.00	0.00	0	0.00	0	-nan 
1604458891619	58.00	0.00	0	0.00	0	-nan 
1604458893615	60.00	0.00	0	0.00	0	-nan 
1604458895610	62.00	0.00	0	0.00	0	-nan 
